researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10
575 citations*,406 citations*,206 citations*,6690,"1,812 citations*","2,166 citations* for all",171 citations*,231 citations*,295 citations*,388
268 citations*,483 citations*,185 citations*,2812,"1,164 citations*","1,596 citations*",125 citations*,153 citations*,519 citations*,356
146 citations*,378 citations*,151 citations*,2513,850 citations*,570 citations*,162 citations*,105 citations*,80 citations* for all,322
201 citations*,127 citations*,123 citations*,2907,833 citations*,"2,279 citations*",92 citations*,109 citations*,45 citations*,253
114 citations* for all,155 citations* for all,133 citations*,245,524 citations*,"2,014 citations*",22 citations*,85 citations*,35 citations*,168
79 citations*,111 citations*,127 citations*,525,448 citations*,891 citations*,142 citations*,100 citations* for all,149 citations* for all,160
35 citations*,44 citations*,60 citations*,516,411 citations*,"2,906 citations* for all",156 citations*,100 citations*,25 citations*,153
98 citations*,238 citations*,75 citations*,208,583 citations*,"2,354 citations*",106 citations*,0 citations*,124 citations*,142
149 citations*,181 citations*,134 citations*,22,309 citations*,552 citations*,84 citations*,27 citations*,99 citations* for all,124
72 citations*,277 citations* for all,107 citations*,83,500 citations*,"1,630 citations*",92 citations*,27 citations* for all,69 citations*,123
115 citations*,214 citations*,92 citations*,95,271 citations*,"1,838 citations*",65 citations*,0 citations*,30 citations*,122
90 citations* for all,63 citations*,120 citations*,61,331 citations*,"1,035 citations*",13 citations*,27 citations*,157 citations*,116
65 citations*,340 citations* for all,104 citations*,68,231 citations* for all,"2,379 citations*",128 citations*,69 citations*,149 citations*,112
25 citations*,339 citations*,55 citations*,11,229 citations*,"1,311 citations* for all",73 citations*,113 citations*,105 citations*,110
109 citations*,1 citations*,25 citations*,19,2 citations*,"1,311 citations*",92 citations*,89 citations*,130 citations*,106
23 citations*,142 citations* for all,93 citations*,26,411 citations*,0 citations*,65 citations*,74 citations* for all,21 citations* for all,86
76 citations* for all,142 citations*,83 citations*,30,215 citations*,976 citations*,17 citations*,74 citations*,21 citations*,82
46 citations*,0 citations*,62 citations*,19,320 citations*,931 citations*,71 citations*,0 citations*,0 citations*,81
30 citations*,266 citations* for all,24 citations*,2,280 citations*,"1,312 citations* for all",22 citations*,19 citations*,108 citations*,80
112 citations*,257 citations*,70 citations* for all,22,276 citations*,"1,175 citations*",87 citations*,32 citations*,8 citations*,80
75 citations*,9 citations*,65 citations*,21,216 citations*,116 citations*,10 citations*,68 citations*,42 citations*,76
13 citations* for all,174 citations*,5 citations*,1,564 citations* for all,20 citations*,27 citations*,26 citations*,38 citations*,73
5 citations*,161 citations*,70 citations* for all,22,283 citations*,"1,567 citations* for all",74 citations*,10 citations* for all,1 citations*,71
8 citations*,120 citations*,65 citations*,5,281 citations*,"1,563 citations*",63 citations*,10 citations*,18 citations* for all,70
65 citations* for all,153 citations*,5 citations*,4,278 citations*,4 citations*,81 citations*,0 citations*,9 citations*,66
65 citations*,169 citations*,89 citations*,2,238 citations*,"1,567 citations* for all",2 citations*,10 citations* for all,9 citations*,63
0 citations*,119 citations*,88 citations*,18,253 citations*,"1,563 citations*",9 citations* for all,10 citations*,18 citations* for all,59
28 citations*,85 citations* for all,29 citations*,4,239 citations* for all,4 citations*,2 citations*,0 citations*,9 citations*,57
16 citations*,68 citations*,1 citations*,12,237 citations*,"2,030 citations* for all",7 citations*,33 citations*,9 citations*,56
26 citations*,17 citations*,100 citations*,0,2 citations*,"2,010 citations*",22 citations*,1 citations*,20 citations* for all,54
28 citations*,178 citations*,32 citations*,7,183 citations*,20 citations*,2 citations*,31 citations*,4 citations*,53
15 citations*,115 citations*,9 citations*,7,178 citations* for all,"1,015 citations* for all",21 citations*,62 citations*,16 citations*,51
6 citations* for all,122 citations* for all,53 citations*,7,76 citations*,"1,015 citations*",5 citations* for all,14 citations*,2 citations* for all,50
5 citations*,84 citations*,8 citations*,17,102 citations*,0 citations*,1 citations*,14 citations*,1 citations*,45
1 citations*,38 citations*,8 citations*,0,153 citations*,953 citations* for all,4 citations*,4 citations*,1 citations*,43
11 citations* for all,189 citations* for all,18 citations*,8,279 citations*,796 citations*,2 citations*,7 citations*,0 citations*,41
11 citations*,125 citations*,14 citations*,15,298 citations*,157 citations*,2 citations*,15 citations*,21 citations* for all,39
0 citations*,64 citations*,15 citations*,8,270 citations*,864 citations*,15 citations*,10 citations*,16 citations*,39
11 citations* for all,399 citations*,22 citations*,1,221 citations*,"1,127 citations*",13 citations*,8 citations*,5 citations*,39
11 citations*,161 citations*,6 citations* for all,7,258 citations*,685 citations*,3 citations* for all,27 citations*,0 citations*,39
0 citations*,121 citations*,0 citations*,4,155 citations*,930 citations* for all,3 citations*,13 citations*,41 citations* for all,36
54 citations*,98 citations*,6 citations*,0,209 citations*,804 citations*,0 citations*,0 citations*,24 citations*,32
61 citations*,133 citations* for all,12 citations*,3,55 citations* for all,126 citations*,6 citations*,5 citations*,17 citations*,31
27 citations*,119 citations*,14 citations*,1,32 citations*,971 citations*,1 citations* for all,27 citations*,41 citations* for all,31
35 citations*,14 citations*,68 citations*,1,23 citations*,"1,041 citations*",0 citations*,11 citations*,24 citations*,30
64 citations*,59 citations* for all,4 citations*,8,192 citations*,837 citations* for all,1 citations*,0 citations*,17 citations*,29
32 citations*,27 citations*,35 citations*,0,89 citations*,837 citations*,13 citations*,2 citations* for all,19 citations* for all,28
4 citations*,32 citations*,24 citations*,2,103 citations* for all,0 citations*,2 citations*,2 citations*,15 citations*,27
29 citations*,155 citations* for all,5 citations*,,48 citations*,631 citations*,3 citations*,0 citations*,4 citations*,27
34 citations*,105 citations*,14 citations*,,55 citations*,830 citations*,54 citations*,2 citations* for all,63 citations*,26
9 citations*,50 citations*,31 citations*,,163 citations*,433 citations* for all,5 citations*,2 citations*,10 citations*,26
5 citations*,58 citations*,20 citations*,,64 citations* for all,297 citations*,1 citations*,0 citations*,33 citations*,23
19 citations*,130 citations*,72 citations*,,39 citations*,136 citations*,4 citations*,2 citations*,23 citations*,23
21 citations*,92 citations* for all,6 citations*,,25 citations*,477 citations*,14 citations*,6 citations*,27 citations*,23
56 citations*,0 citations*,18 citations*,,83 citations*,445 citations* for all,17 citations*,2 citations*,11 citations*,22
22 citations*,92 citations*,7 citations*,,149 citations*,364 citations*,7 citations*,19 citations*,13 citations*,22
3 citations*,70 citations* for all,19 citations*,,121 citations*,81 citations*,3 citations*,1 citations*,13 citations*,22
10 citations*,70 citations*,16 citations*,,166 citations*,572 citations*,22 citations*,7 citations*,0 citations*,22
14 citations*,0 citations*,22 citations*,,49 citations* for all,597 citations*,0 citations*,3 citations*,5 citations*,21
7 citations*,65 citations*,4 citations*,,33 citations*,277 citations* for all,16 citations*,0 citations*,6 citations*,21
10 citations* for all,114 citations* for all,14 citations*,,16 citations*,271 citations*,12 citations*,15 citations*,3 citations* for all,20
3 citations*,114 citations*,6 citations*,,66 citations*,6 citations*,23 citations*,1 citations*,2 citations*,18
7 citations*,0 citations*,19 citations*,,102 citations*,252 citations* for all,3 citations*,7 citations*,1 citations*,18
15 citations*,23 citations* for all,0 citations*,,167 citations*,137 citations*,9 citations*,2 citations*,1 citations*,18
2 citations*,23 citations*,0 citations*,,112 citations*,115 citations*,0 citations*,16 citations*,32 citations*,18
13 citations*,0 citations*,12 citations*,,103 citations*,"1,041 citations* for all",3 citations*,26 citations* for all,5 citations* for all,18
0 citations*,23 citations* for all,11 citations*,,195 citations*,346 citations*,0 citations*,0 citations*,3 citations*,17
20 citations*,23 citations*,54 citations*,,126 citations*,695 citations*,0 citations*,26 citations*,2 citations*,17
0 citations*,0 citations*,22 citations*,,111 citations*,"1,041 citations* for all",0 citations*,19 citations*,12 citations* for all,17
9 citations*,80 citations*,20 citations*,,107 citations*,346 citations*,1 citations*,1 citations*,5 citations*,15
0 citations*,24 citations* for all,25 citations*,,"1,742 citations*",695 citations*,1 citations*,21 citations*,7 citations*,15
0 citations*,24 citations*,11 citations*,,52 citations* for all,215 citations*,4 citations*,5 citations*,66 citations*,15
0 citations*,0 citations*,10 citations*,,39 citations*,350 citations*,0 citations*,8 citations*,14 citations*,14
21 citations*,64 citations* for all,7 citations*,,13 citations*,338 citations*,0 citations*,1 citations*,0 citations*,14
0 citations* for all,64 citations*,0 citations*,,75 citations* for all,498 citations* for all,0 citations*,1 citations*,20 citations*,14
0 citations*,0 citations*,10 citations*,,39 citations*,498 citations*,8 citations*,2 citations*,11 citations*,13
0 citations*,72 citations*,5 citations*,,36 citations*,0 citations*,0 citations*,10 citations*,10 citations*,12
4 citations*,121 citations*,6 citations*,,110 citations*,291 citations* for all,5 citations*,0 citations*,2 citations*,12
0 citations* for all,90 citations* for all,16 citations*,,88 citations* for all,90 citations*,8 citations*,0 citations*,13 citations*,12
0 citations*,7 citations*,3 citations*,,2 citations*,201 citations*,0 citations*,2 citations*,6 citations*,11
0 citations*,83 citations*,6 citations*,,86 citations*,336 citations*,1 citations*,1 citations*,17 citations*,11
2 citations*,76 citations*,12 citations*,,89 citations*,188 citations* for all,7 citations*,2 citations*,0 citations*,10
4 citations*,54 citations*,0 citations*,,120 citations*,131 citations*,4 citations*,0 citations*,27 citations*,10
9 citations* for all,68 citations* for all,11 citations*,,119 citations*,57 citations*,5 citations*,3 citations*,0 citations*,9
9 citations*,32 citations*,14 citations*,,39 citations* for all,188 citations* for all,1 citations*,11 citations*,1 citations* for all,9
0 citations*,32 citations*,6 citations*,,20 citations*,131 citations*,5 citations*,0 citations*,1 citations*,9
3 citations*,4 citations*,22 citations*,,19 citations*,57 citations*,16 citations*,0 citations*,0 citations*,9
0 citations*,64 citations*,4 citations*,,67 citations*,353 citations* for all,6 citations*,5 citations*,9 citations*,8
12 citations*,66 citations*,13 citations*,,78 citations*,150 citations*,10 citations*,4 citations*,0 citations*,8
1 citations*,64 citations*,3 citations*,,39 citations* for all,203 citations*,1 citations*,1 citations*,10 citations* for all,8
18 citations*,54 citations*,1 citations*,,33 citations*,263 citations*,6 citations*,0 citations*,6 citations*,8
20 citations*,72 citations*,6 citations*,,6 citations*,214 citations* for all,0 citations*,2 citations*,4 citations*,7
16 citations*,73 citations*,7 citations*,,60 citations*,169 citations*,4 citations*,1 citations*,10 citations* for all,7
39 citations*,89 citations*,6 citations*,,94 citations*,45 citations*,1 citations*,0 citations*,6 citations*,7
0 citations*,56 citations*,13 citations*,,66 citations*,266 citations* for all,0 citations*,3 citations*,4 citations*,7
8 citations*,21 citations*,10 citations*,,59 citations*,139 citations*,0 citations*,1 citations*,4 citations*,7
98 citations*,28 citations*,17 citations*,,80 citations*,127 citations*,0 citations*,2 citations*,9 citations* for all,7
18 citations*,31 citations*,3 citations*,,81 citations*,160 citations*,0 citations*,0 citations*,9 citations*,6
1 citations*,32 citations*,11 citations* for all,,54 citations*,280 citations*,0 citations*,1 citations*,0 citations*,6
10 citations*,51 citations*,11 citations*,,57 citations*,238 citations*,0 citations*,0 citations*,13 citations*,6
7 citations* for all,21 citations*,0 citations*,,72 citations*,229 citations* for all,0 citations*,0 citations*,0 citations*,6
3 citations*,77 citations*,13 citations*,,33 citations* for all,130 citations*,0 citations*,0 citations*,11 citations*,5
4 citations*,4 citations* for all,4 citations*,,16 citations*,99 citations*,0 citations*,0 citations*,0 citations*,4
2 citations*,1 citations*,4 citations*,,17 citations*,177 citations*,0 citations*,0 citations*,2 citations*,4
24 citations*,3 citations*,5 citations*,,112 citations*,355 citations* for all,0 citations*,,2 citations*,4
2 citations*,25 citations* for all,11 citations*,,56 citations*,337 citations*,,,9 citations*,4
1 citations*,21 citations*,2 citations*,,78 citations*,18 citations*,,,6 citations*,4
0 citations*,4 citations*,4 citations*,,56 citations*,798 citations*,,,15 citations*,4
7 citations*,2 citations*,10 citations*,,91 citations*,159 citations*,,,3 citations*,3
1 citations*,7 citations*,2 citations*,,93 citations*,193 citations* for all,,,17 citations*,3
0 citations*,73 citations*,9 citations*,,85 citations*,68 citations*,,,1 citations*,3
0 citations*,6 citations*,8 citations*,,29 citations*,125 citations*,,,4 citations*,3
3 citations*,26 citations*,4 citations*,,133 citations*,301 citations* for all,,,3 citations*,3
1 citations*,75 citations*,10 citations*,,83 citations*,292 citations*,,,16 citations*,3
1 citations*,13 citations*,4 citations*,,21 citations* for all,9 citations*,,,5 citations*,3
15 citations*,19 citations*,6 citations* for all,,20 citations*,339 citations*,,,3 citations*,2
22 citations*,10 citations* for all,6 citations*,,1 citations*,"1,048 citations* for all",,,6 citations*,2
5 citations*,10 citations*,0 citations*,,19 citations* for all,"1,048 citations*",,,2 citations*,2
0 citations*,0 citations*,6 citations* for all,,18 citations*,0 citations*,,,13 citations*,2
9 citations*,26 citations*,6 citations*,,1 citations*,229 citations* for all,,,0 citations*,2
2 citations*,18 citations*,0 citations*,,63 citations*,181 citations*,,,5 citations*,1
20 citations*,5 citations* for all,2 citations*,,69 citations*,48 citations*,,,6 citations*,1
6 citations*,3 citations*,1 citations*,,27 citations*,236 citations*,,,8 citations*,1
