researcher1,researcher2,researcher3,researcher4,researcher5,researcher6,researcher7,researcher8,researcher9,researcher10
6 citations*,2 citations*,4 citations*,,9 citations* for all,206 citations*,,,3 citations*,1
9 citations*,0 citations*,3 citations*,,5 citations*,281 citations*,,,3 citations*,1
4 citations*,85 citations*,2 citations*,,4 citations*,140 citations* for all,,,1 citations*,1
8 citations*,34 citations*,2 citations*,,29 citations*,140 citations*,,,0 citations*,1
0 citations*,15 citations*,1 citations*,,28 citations* for all,0 citations*,,,1 citations*,1
5 citations*,25 citations* for all,1 citations*,,18 citations*,94 citations*,,,1 citations*,1
16 citations*,15 citations*,0 citations*,,10 citations*,43 citations* for all,,,0 citations*,1
3 citations*,10 citations*,5 citations*,,56 citations*,4 citations*,,,0 citations*,1
9 citations*,83 citations*,1 citations*,,17 citations* for all,31 citations*,,,1 citations*,1
2 citations*,28 citations*,1 citations*,,8 citations*,8 citations*,,,2 citations*,1
1 citations*,30 citations*,4 citations*,,9 citations*,193 citations* for all,,,1 citations*,1
0 citations*,11 citations*,5 citations*,,81 citations*,45 citations*,,,0 citations*,1
1 citations*,41 citations* for all,1 citations*,,29 citations*,148 citations*,,,0 citations*,0
0 citations*,21 citations*,2 citations*,,36 citations*,90 citations* for all,,,1 citations*,0
0 citations*,20 citations*,0 citations*,,3 citations* for all,83 citations*,,,0 citations*,0
0 citations*,26 citations*,3 citations*,,1 citations*,7 citations*,,,1 citations*,0
2 citations*,30 citations*,7 citations*,,2 citations*,87 citations* for all,,,0 citations*,0
0 citations*,33 citations*,8 citations*,,7 citations* for all,33 citations*,,,0 citations*,0
,10 citations* for all,3 citations*,,7 citations*,54 citations*,,,0 citations*,0
,1 citations*,1 citations*,,0 citations*,133 citations*,,,0 citations*,0
,8 citations*,0 citations*,,65 citations*,176 citations*,,,1 citations*,0
,1 citations*,0 citations*,,62 citations*,199 citations*,,,0 citations*,0
,29 citations*,0 citations*,,19 citations* for all,161 citations* for all,,,0 citations*,0
,9 citations*,3 citations*,,17 citations*,109 citations*,,,,0
,15 citations*,0 citations*,,2 citations*,52 citations*,,,,0
,7 citations*,3 citations*,,21 citations* for all,152 citations* for all,,,,0
,3 citations*,2 citations*,,21 citations*,151 citations*,,,,0
,16 citations*,0 citations*,,0 citations*,1 citations*,,,,0
,24 citations*,0 citations*,,31 citations*,134 citations* for all,,,,0
,96 citations*,0 citations*,,25 citations* for all,128 citations*,,,,0
,33 citations*,3 citations*,,25 citations*,6 citations*,,,,0
,66 citations*,0 citations*,,0 citations*,134 citations* for all,,,,0
,7 citations*,1 citations*,,25 citations* for all,128 citations*,,,,0
,4 citations*,3 citations*,,25 citations*,6 citations*,,,,0
,12 citations* for all,2 citations*,,0 citations*,156 citations*,,,,0
,12 citations*,0 citations*,,1 citations* for all,156 citations*,,,,0
,0 citations*,2 citations*,,0 citations*,104 citations*,,,,0
,2 citations*,3 citations*,,1 citations*,150 citations*,,,,0
,9 citations*,3 citations*,,1 citations* for all,186 citations* for all,,,,0
,6 citations*,3 citations*,,1 citations*,186 citations*,,,,0
,11 citations*,2 citations*,,0 citations*,0 citations*,,,,0
,28 citations* for all,3 citations*,,31 citations* for all,35 citations* for all,,,,0
,28 citations*,1 citations*,,12 citations*,18 citations*,,,,0
,0 citations*,11 citations*,,19 citations*,17 citations*,,,,0
,9 citations*,4 citations*,,20 citations*,170 citations*,,,,0
,2 citations*,0 citations*,,25 citations*,127 citations*,,,,0
,25 citations*,2 citations*,,19 citations*,112 citations*,,,,0
,1 citations*,3 citations*,,0 citations* for all,146 citations*,,,,0
,56 citations*,1 citations*,,0 citations*,96 citations*,,,,0
,4 citations*,1 citations* for all,,0 citations*,132 citations*,,,,0
,4 citations*,1 citations*,,3 citations* for all,57 citations* for all,,,,0
,20 citations*,0 citations*,,2 citations*,44 citations*,,,,0
,1 citations*,1 citations*,,1 citations*,13 citations*,,,,0
,32 citations*,0 citations*,,2 citations*,62 citations*,,,,0
,9 citations*,2 citations*,,21 citations*,183 citations*,,,,0
,12 citations*,1 citations*,,10 citations*,210 citations*,,,,0
,3 citations*,1 citations*,,21 citations*,61 citations* for all,,,,0
,3 citations* for all,0 citations*,,13 citations*,26 citations*,,,,0
,3 citations*,2 citations*,,24 citations*,35 citations*,,,,0
,0 citations*,1 citations*,,12 citations*,85 citations*,,,,0
,3 citations* for all,5 citations*,,30 citations*,72 citations*,,,,0
,3 citations*,0 citations*,,75 citations*,125 citations* for all,,,,0
,0 citations*,0 citations*,,4 citations* for all,102 citations*,,,,0
,2 citations*,0 citations*,,3 citations*,23 citations*,,,,0
,11 citations*,0 citations*,,1 citations*,39 citations* for all,,,,0
,3 citations*,0 citations*,,6 citations* for all,7 citations*,,,,0
,9 citations*,2 citations*,,3 citations*,32 citations*,,,,0
,20 citations*,0 citations*,,3 citations*,103 citations*,,,,0
,8 citations*,0 citations*,,4 citations* for all,4 citations* for all,,,,0
,15 citations*,0 citations*,,3 citations*,3 citations*,,,,0
,3 citations*,0 citations*,,1 citations*,1 citations*,,,,0
,7 citations*,0 citations*,,11 citations*,0 citations*,,,,0
,20 citations*,0 citations*,,8 citations* for all,4 citations* for all,,,,0
,2 citations*,0 citations*,,8 citations*,3 citations*,,,,0
,28 citations*,2 citations*,,0 citations*,1 citations*,,,,0
,0 citations*,2 citations*,,8 citations* for all,0 citations*,,,,0
,1 citations*,0 citations*,,7 citations*,111 citations*,,,,0
,5 citations*,0 citations*,,1 citations*,28 citations* for all,,,,0
,1 citations*,0 citations*,,15 citations*,27 citations*,,,,0
,5 citations*,0 citations*,,10 citations*,1 citations*,,,,0
,3 citations* for all,0 citations*,,25 citations*,81 citations*,,,,0
,1 citations*,1 citations*,,2 citations* for all,127 citations* for all,,,,0
,2 citations*,1 citations*,,1 citations*,118 citations*,,,,0
,4 citations*,0 citations*,,1 citations*,9 citations*,,,,0
,0 citations*,1 citations*,,4 citations*,19 citations* for all,,,,0
,0 citations*,0 citations*,,12 citations*,15 citations*,,,,0
,0 citations*,0 citations*,,7 citations* for all,4 citations*,,,,0
,20 citations*,2 citations*,,2 citations*,61 citations* for all,,,,0
,5 citations*,0 citations*,,5 citations*,52 citations*,,,,0
,16 citations*,0 citations*,,0 citations* for all,9 citations*,,,,0
,0 citations*,0 citations*,,0 citations*,135 citations*,,,,0
,1 citations*,0 citations*,,0 citations*,128 citations*,,,,0
,6 citations*,0 citations*,,21 citations*,76 citations*,,,,0
,2 citations*,1 citations*,,14 citations*,69 citations*,,,,0
,18 citations* for all,0 citations*,,0 citations* for all,60 citations*,,,,0
,18 citations*,1 citations*,,0 citations*,8 citations* for all,,,,0
,0 citations*,0 citations*,,0 citations*,6 citations*,,,,0
,10 citations* for all,0 citations*,,2 citations* for all,2 citations*,,,,0
,0 citations*,0 citations*,,2 citations*,61 citations*,,,,0
,10 citations*,0 citations*,,0 citations*,74 citations* for all,,,,0
,0 citations*,0 citations*,,2 citations* for all,57 citations*,,,,0
,2 citations*,0 citations*,,2 citations*,17 citations*,,,,0
,63 citations*,0 citations*,,0 citations*,19 citations* for all,,,,0
,21 citations*,0 citations*,,16 citations* for all,19 citations*,,,,0
,8 citations*,0 citations*,,10 citations*,0 citations*,,,,0
,0 citations*,,,6 citations*,85 citations* for all,,,,0
,1 citations*,,,4 citations* for all,25 citations*,,,,0
,22 citations* for all,,,0 citations*,60 citations*,,,,0
,22 citations*,,,4 citations*,24 citations*,,,,0
,0 citations*,,,12 citations*,66 citations* for all,,,,0
,17 citations*,,,4 citations*,66 citations*,,,,0
,15 citations*,,,19 citations*,0 citations*,,,,0
,1 citations* for all,,,1 citations*,30 citations* for all,,,,0
,1 citations*,,,14 citations*,28 citations*,,,,0
,0 citations*,,,9 citations*,2 citations*,,,,0
,0 citations* for all,,,5 citations* for all,30 citations* for all,,,,0
,0 citations*,,,5 citations*,28 citations*,,,,0
,0 citations*,,,0 citations*,2 citations*,,,,0
,29 citations*,,,2 citations*,7 citations*,,,,0
,2 citations*,,,11 citations*,103 citations*,,,,0
,17 citations* for all,,,17 citations*,5 citations* for all,,,,0
,17 citations*,,,0 citations*,4 citations*,,,,0
,0 citations*,,,8 citations*,1 citations*,,,,0
,5 citations*,,,4 citations*,75 citations*,,,,0
,0 citations*,,,4 citations*,62 citations*,,,,0
,0 citations*,,,3 citations*,37 citations*,,,,0
,15 citations*,,,1 citations*,65 citations*,,,,0
,0 citations* for all,,,9 citations*,60 citations*,,,,0
,0 citations*,,,6 citations*,14 citations*,,,,0
,0 citations*,,,0 citations*,61 citations*,,,,0
,2 citations*,,,3 citations*,74 citations*,,,,0
,1 citations*,,,10 citations*,0 citations* for all,,,,0
,1 citations*,,,2 citations*,0 citations*,,,,0
,9 citations*,,,18 citations*,0 citations*,,,,0
,0 citations*,,,18 citations*,16 citations* for all,,,,0
,7 citations*,,,0 citations*,7 citations*,,,,0
,15 citations*,,,0 citations*,9 citations*,,,,0
,5 citations*,,,2 citations*,29 citations*,,,,0
,3 citations*,,,1 citations*,13 citations* for all,,,,0
,0 citations*,,,4 citations*,10 citations*,,,,0
,5 citations* for all,,,0 citations*,3 citations*,,,,0
,4 citations*,,,3 citations*,69 citations* for all,,,,0
,1 citations*,,,5 citations*,66 citations*,,,,0
,6 citations* for all,,,11 citations*,3 citations*,,,,0
,6 citations*,,,5 citations*,2 citations* for all,,,,0
,0 citations*,,,1 citations*,2 citations*,,,,0
,0 citations*,,,1 citations*,0 citations*,,,,0
,12 citations*,,,1 citations*,15 citations* for all,,,,0
,0 citations*,,,0 citations*,7 citations*,,,,0
,1 citations*,,,0 citations*,6 citations*,,,,0
,5 citations*,,,0 citations*,2 citations*,,,,0
,4 citations*,,,1 citations*,5 citations* for all,,,,0
,1 citations*,,,3 citations*,4 citations*,,,,0
,1 citations*,,,0 citations*,1 citations*,,,,0
,2 citations*,,,1 citations*,59 citations*,,,,0
,0 citations*,,,1 citations*,77 citations* for all,,,,0
,0 citations*,,,2 citations*,39 citations*,,,,0
,6 citations*,,,0 citations*,38 citations*,,,,0
,11 citations* for all,,,0 citations*,32 citations*,,,,0
,11 citations*,,,0 citations*,85 citations*,,,,0
,0 citations*,,,0 citations*,20 citations* for all,,,,0
,7 citations*,,,0 citations*,7 citations*,,,,0
,0 citations*,,,0 citations*,13 citations*,,,,0
,3 citations*,,,,89 citations*,,,,0
,0 citations*,,,,27 citations* for all,,,,0
,0 citations*,,,,17 citations*,,,,0
,0 citations*,,,,10 citations*,,,,0
,1 citations*,,,,19 citations*,,,,0
,4 citations*,,,,17 citations*,,,,0
,1 citations*,,,,12 citations*,,,,0
,0 citations*,,,,11 citations*,,,,0
,1 citations*,,,,134 citations*,,,,0
,1 citations*,,,,4 citations* for all,,,,0
,4 citations*,,,,2 citations*,,,,0
,11 citations*,,,,2 citations*,,,,0
,4 citations*,,,,57 citations* for all,,,,0
,0 citations*,,,,57 citations*,,,,0
,6 citations*,,,,0 citations*,,,,0
,2 citations*,,,,19 citations*,,,,0
,0 citations*,,,,18 citations* for all,,,,0
,10 citations*,,,,5 citations*,,,,0
,8 citations*,,,,13 citations*,,,,0
,0 citations*,,,,18 citations* for all,,,,0
,0 citations*,,,,5 citations*,,,,0
,6 citations*,,,,13 citations*,,,,0
,1 citations*,,,,29 citations*,,,,0
,0 citations*,,,,14 citations* for all,,,,0
,5 citations*,,,,14 citations*,,,,0
,0 citations*,,,,0 citations*,,,,0
,9 citations*,,,,24 citations*,,,,0
,1 citations*,,,,76 citations*,,,,0
,0 citations*,,,,8 citations*,,,,0
,0 citations*,,,,29 citations*,,,,0
,0 citations*,,,,20 citations*,,,,0
,0 citations*,,,,4 citations* for all,,,,0
,4 citations*,,,,3 citations*,,,,0
,0 citations*,,,,1 citations*,,,,0
,0 citations*,,,,4 citations* for all,,,,0
,0 citations*,,,,3 citations*,,,,0
,0 citations*,,,,1 citations*,,,,
,0 citations*,,,,6 citations*,,,,
,0 citations*,,,,90 citations*,,,,
,,,,,9 citations* for all,,,,
,,,,,3 citations*,,,,
,,,,,6 citations*,,,,
,,,,,33 citations*,,,,
,,,,,0 citations*,,,,
,,,,,38 citations* for all,,,,
,,,,,17 citations*,,,,
,,,,,21 citations*,,,,
,,,,,12 citations* for all,,,,
,,,,,11 citations*,,,,
,,,,,1 citations*,,,,
,,,,,12 citations* for all,,,,
,,,,,11 citations*,,,,
,,,,,1 citations*,,,,
,,,,,3 citations*,,,,
,,,,,88 citations*,,,,
,,,,,8 citations*,,,,
,,,,,8 citations*,,,,
,,,,,3 citations*,,,,
,,,,,13 citations*,,,,
,,,,,4 citations*,,,,
,,,,,0 citations*,,,,
,,,,,3 citations*,,,,
,,,,,0 citations*,,,,
,,,,,56 citations*,,,,
,,,,,3 citations*,,,,
,,,,,10 citations*,,,,
,,,,,63 citations*,,,,
,,,,,51 citations*,,,,
,,,,,3 citations*,,,,
,,,,,2 citations*,,,,
,,,,,0 citations*,,,,
,,,,,4 citations*,,,,
,,,,,0 citations*,,,,
,,,,,3 citations*,,,,
,,,,,55 citations*,,,,
,,,,,9 citations*,,,,
,,,,,4 citations*,,,,
,,,,,3 citations*,,,,
,,,,,1 citations*,,,,
,,,,,55 citations*,,,,
,,,,,2 citations*,,,,
,,,,,18 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,3 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,3 citations*,,,,
,,,,,14 citations*,,,,
,,,,,10 citations*,,,,
,,,,,4 citations*,,,,
,,,,,6 citations*,,,,
,,,,,6 citations*,,,,
,,,,,28 citations* for all,,,,
,,,,,28 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,2 citations*,,,,
,,,,,19 citations*,,,,
,,,,,0 citations*,,,,
,,,,,2 citations*,,,,
,,,,,5 citations*,,,,
,,,,,11 citations*,,,,
,,,,,15 citations*,,,,
,,,,,4 citations*,,,,
,,,,,1 citations*,,,,
,,,,,8 citations*,,,,
,,,,,1 citations*,,,,
,,,,,20 citations*,,,,
,,,,,8 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,1 citations*,,,,
,,,,,1 citations*,,,,
,,,,,2 citations*,,,,
,,,,,5 citations*,,,,
,,,,,0 citations*,,,,
,,,,,2 citations*,,,,
,,,,,4 citations*,,,,
,,,,,7 citations*,,,,
,,,,,8 citations*,,,,
,,,,,4 citations*,,,,
,,,,,3 citations*,,,,
,,,,,6 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations* for all,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations* for all,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,5 citations*,,,,
,,,,,1 citations*,,,,
,,,,,1 citations*,,,,
,,,,,5 citations*,,,,
,,,,,4 citations*,,,,
,,,,,3 citations*,,,,
,,,,,8 citations*,,,,
,,,,,1 citations*,,,,
,,,,,6 citations*,,,,
,,,,,5 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,1 citations*,,,,
,,,,,1 citations*,,,,
,,,,,1 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,1 citations*,,,,
,,,,,0 citations*,,,,
,,,,,6 citations*,,,,
,,,,,1 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,0 citations*,,,,
,,,,,1 citations*,,,,
,,,,,0 citations*,,,,
,,,,,1 citations*,,,,
,,,,,0 citations*,,,,
